name,reviews.text,reviews.rating
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta","What I expected. A better then budget tablet ata good price. Bought for the integration with Alexa and it works well, more info about your Alexa request will show up automatically on the tablet.",4.0
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 32 GB - Includes Special Offers, Magenta",I found the Amazon Fire HD to be very easy to travel back and forth to school. I can easily transfer my work in class to my main computer at home!,5.0
"Amazon Fire Tv,,,
Amazon Fire Tv,,,","My wife purchased this for my birthday and we find it to be VERY helpful. Very easy to use. Perfect size to be placed conspicuously in the home. It's an all-around great tool for parties, up-to-date info every morning, list keeping, calendar maintenance and general fact checking. We love it!",5.0
"Amazon Fire Tv,,,
Amazon Fire Tv,,,","Great sound, easy to set up. Connects to wifi no issues.",5.0
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",This kindle is great. Battery lasts much longer than old kindle.,5.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",High resolution screen with very clear and vibrant color representation.,5.0
"Echo (White),,,
Echo (White),,,","This makes three I have purchased. This time as a gift. Its fun, accurate and works.",5.0
"Amazon Fire Tv,,,
Amazon Fire Tv,,,",Review is based on the fact that I have not able to make a connection with the device.,1.0
"Amazon Fire Tv,,,
Amazon Fire Tv,,,","I am still learning what all the Echo can do but it is awesome. I love the shopping list, the timer, just being silly with games. Working on getting plugs and light switches to control the house.",5.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",Yhis tablet is great for the price. You could do almost anything another table can do for that's 5x the price.,4.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","I love this device for my kids who are way too young to trust with a $500 tablet such as an iPad. Works efficiently, my kids love it, & I love the parental control features. If something happens to it, amazon handles it quickly & if it were to break or get lost, it's cheap to replace. That being said, it obviously doesn't hold a candle to Samsung or apple's tablets. I'm not really a fan of the operating system.",3.0
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",This tablet is on the smaller side but works for me.,4.0
"Kindle Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers,","Bought Paperwhite as a gift for my wife for Christmas. She cant put it down!, If she wakes up in the middle of the night the Paperwhite is on and it the light doesn't bother me.",5.0
"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",Needed a tablet that I could use at night before going to bed that wouldn't have bright light and this does the trick.,5.0
"Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders,,,
Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders,,,",Have had it for a week now and works great.,4.0
"Amazon Fire Tv,,,
Amazon Fire Tv,,,","The Echo is definitely a must. It has great sound quality, very easy to use and is a lot of fun to have at parties. It is compact and very structurally sturdy. I recommend the Echo to everyone.",5.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",I love this tablet. It was a great buy. I would strongly recommend buying it. It's a great reader but also good for surfing the web.,5.0
"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",My second one and works better than the first one.,5.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","I had to go through 2 tablets before getting this one, which is the best that I have ever had.",4.0
"Echo (White),,,
Echo (White),,,",This is a unique item with nice features. You can add Items to a shopping list by just telling Alexa to . You can have her turn on or off your lights,4.0
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",I bought this for my dad in his late 60s mainly to listen to music and read ebooks borrowed from the library. I set it up for him and he loves it. I just don't like that it has ads on the start up unless you pay to get rid of them.,4.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",Love the size and weight of this. I read my Amazon books and comics on here and am always impressed with how easy to use.,5.0
"Echo (White),,,
Echo (White),,,","Wanted to buy the Amazon echo for a long time, was glad that I saw the offer best buy had, got it around 2 weeks ago and I love it so far, for me listening to music is a big part of my day and the sound on the echo is fantastic, I really like the design, Alexa is pretty helpful even though I haven't had the chance yet to fully use her capabilities but asking for a song or ordering things from Amazon is pretty easy and convenient, I have an accent and Alexa doesnt have any problems understanding me!, would definitely recommend it.",5.0
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",IT was just as described. I would recommend it to a friend.,5.0
"Echo (White),,,
Echo (White),,,",This was a Christmas gift for my son. He has been wanting one for a while and this was some of the best pricing I've seen,5.0
"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",Very pleasing to eyes to read. Owned the previous paper white and this one has a better DPI (resolution). Got a great deal.,5.0
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta","The Fire 8 was purchased for me for after I had a knee replacement. I used it to view and check my emails, facebook, Netflix, Xfinity movies and TV shows.",5.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","I bought this product to gift to a 8year old kid and she loved it. she plays games, puzzles.",3.0
"Amazon Fire Tv,,,
Amazon Fire Tv,,,",This thing is great. I discover a new feature almost every day. I don't know how I lived without it.,5.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","I needed a tablet for once in a while use. So far it is great for my use. Small, clear and I like Amazon products so it was great to find it at Best Buy so I did not have to wait for shipping",4.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",Without a doubt the best bang for your buck amazon tablets are in the runnings for great tablets come in various sizes and definitely will give you apps to fill your every needs amazon hit a home run with price and value highly recomend!!!!!!!!! great for gifts. Dont forget black friday and Christmas will be here soon get your points rolling treat yourself to a tablet best buy will be more than willing to help !!!!!!!!!!,5.0
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta","This isn't a high end tablet. Don't buy it if your goal is to play the latest high octane tablet games. But for general use, for most people - web surfing, light games like Angry Birds and those match the fruit games, casting movies to a television - it's an amazing value. The Amazon geared operating system isn't a problem. It took a few minutes to get the Google world onto the tablet. - Google Play, Google Store, Google this and that. The 7"" version is an even better deal, but my mom needed this slightly larger screen. She loves it!",5.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",Got this for my nephews and they love love love it!,4.0
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case","I bought this for my daughter to use. I know the regular amazon fire is cheaper, but this one came with a bumper, a two year no question warranty and a one year subscription to free time which allows kids to read lot of books and play great games for free. In the end it's a great deal.",5.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","Great for web surfing. Easy to learn, easy to master.",5.0
"Amazon Fire Tv,,,
Amazon Fire Tv,,,",Echo works well with a variety of different devices that have different protocols. It's an easy start to home automation.,5.0
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta","Nice tablet from Amazon, has a good screen on it and plenty of memory.",5.0
"Amazon - Amazon Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,
Amazon - Amazon Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,",The speaker sounds so much better than the dot. I stream music through there constantly.,5.0
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",This was a gift for my toddler grandson. He loves it.,5.0
"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,","This is so awesome, I can check my email when I'm not at home, if the place I'm visiting has WIFI. It also plays games! A true multi-tasker!",5.0
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta","This Fire tablet is a nice upgrade to the one I purchased 3 years ago. The screen is great, it is very fast, has lots of storage with the SD card, and just an all-around good product. And a great value.",5.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","I gave this to my God child, ahe is 6 , she loves it to deaf",4.0
"Echo (White),,,
Echo (White),,,",She is fun and intelligent. I definitely see her replacing google as a search engine.,5.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",I brought this tablet for my son for Christmas and he loves it. I would definitely recommend this tablet as a starter tablet for younger kids.,5.0
"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,","This device has met my expectations. I read the other reviews and just had to give it a try. The display is easy on the eyes, noticeably more so than a regular tablet. It's lightweight and fits easily in my purse. No complaints here. :)",5.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",We got these tablets for our 4 year old and 9 year old and they love it.,4.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","It's a great starter tablet for children,very inexpensive and durable.",3.0
"All-New Kindle E-reader - Black, 6 Glare-Free Touchscreen Display, Wi-Fi -  Includes Special Offers,,",20 for a USB charger is outrageous! It should have bee free with the Paperwhite Kindle.,3.0
"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,","My sales person was excellent. She knew the product and was able to answer all of my questions. I bought a kindle paperwhite. I had the geek squad to synk it to my laptop. ""I love those guys""",5.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","I brought 3 for my boys and they love it. My three year old watch mickey mouse, my 9 year ol surf the web for homework and my 15 year old use it for you tube and music even live chat with his friends.",5.0
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",Great for kids. My grandson (5 years) is very happy with it,4.0
"Amazon Fire Tv,,,
Amazon Fire Tv,,,","Loving this item, it can play all of my favorite music and I got it on a great deal, I love best buy deals!",5.0
"Echo (White),,,
Echo (White),,,","This item is fair in price, and a great quality for my children! Keeps them busy while I take care of our home business.",4.0
"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",We purchased 4 of these for our grandkids aged 18 months to 6 yrs and all 4 of them love them. They play with them daily for as long as their parental limits allow. They are very durable and come with a very kid durable skin. The 2 year warranty that covers everything was the selling part for us. The one con is that you don't get google play store.,5.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",Excellent product very good piece strongly recommend,5.0
"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,","Very easy and comfortable to use, almost use it every day. I would recommend this to anyone loves a book.",5.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","The best remote for the price you cannot beat it, easy to use",5.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",This product is good for kids. Has options to put different users to have set up how each person wants it and can set parent controls.,4.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","Great tablet for beginners, nice and simple. Great price",4.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",was just the right size for my husband.and was just what he wanted.was a very good buy for him.thanks alot.,5.0
"Echo (White),,,
Echo (White),,,",Love my fire!! Easy to download books and is a great tablet for being so small. Price is right too.,5.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",The lady that helped me was very professional and knowledgeable. She understood what I was looking for let me know that she would have to order it. She did just that and it showed up 2 days earlier than originally told.,5.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",I brought the tablet for my 9 year old son it's great for the kids can play lots of games download apps get on you tube ect but I don't like the fact every now and then it makes this weird sound and the screen blanks out and I have to turn the tablet off in order for it to work again.,3.0
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta","For me this tablet is an extremely good value! iPads are beautiful things, and they seem to just work really well all the time. But they are expensive! Same thing with Android tablets. You can get a cheap Android tablet, but then you're left with a cheap tablet...poor quality displays, questionable hardware, limited support. I think Amazon hit the spot with their line of Fire Tablets - this HD8 in particular. It's good quality, has a great display, it's quick and snappy, has great battery life. Also being an Android based operating system, there is flexibility like accessing storage, side loading third party apps, even installing Google Play (for those who begrudge the lack of that feature, it can be done). Much more flexibility than you get with an Apple product, at a much lower price than the industry standard Samsung etc. Coming from using Apple products for so long, this thing is really convincing me that there are really viable options other than Apple, and especially for the price, its a great introduction to a different platform. Not only that, it's genuinely a good product!",5.0
"Kindle Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers,",Everything worked just fine with the product and we would buy again.,4.0
"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",This Kindle is so easy to use and the screen is very easy on the eyes!,4.0
"Amazon Fire Tv,,,
Amazon Fire Tv,,,",very interesting how Alexa knows mostly everything,5.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",It works seamlessly. Very great for price and clean finish,5.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black",Brought for my wife . She loves it. She spends a lot .,5.0
"Amazon - Amazon Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,
Amazon - Amazon Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,","Love it! I use it for weather, Pandora, you can play games and ask it recipes. It's great.",5.0
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",Great that you can add micro SD card for expanded memory. Works great for around the house and long trips. Battery lasts a good amount of time and no issues with quality.,5.0
"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,","My dear wife is a voracious reader and Paperwhite by Kindle is her reader of choice. She absolutely loves everything about it.We also recently became Prime members, and she is hoping there will be some great books to read at no additional charge!",5.0
"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",The connectivity was okay to setup for access the navigation was a little clumsy. Overall good product for a good price in it's category.,4.0
"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",So much better than the original one I had. I would definitely buy another one.,5.0
"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,","I purchased as a replacement E-Reader to my Alurek. I could not download E-books on to my new MacBook and do not want to read books on my MacBook. I love the size, feel and back light of the Paper White. Glad I purchased it.",5.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","I purchased this tablet for my 2 year old and she loves it. She able to watch all her shows abd play games , its great...",4.0
"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,","Makes reading books so easy, never loose your place when you stop.",5.0
"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,","I use mine for email, Facebook ,games and to go on line. I also have down loaded books. I use it to take photos. It is small and be taken easily. I would recommend it to anyone .",5.0
"Echo (White),,,
Echo (White),,,","Hands free dimming of lights. Music on demand. Podcasts, weather forecasts, and news in a glowing circular flash. I wish Alexa could do a task at the set time. ""Play Flash Briefing at 6:15 a.m. every weekday"" gets a stumped response. But Alexa can do multiple repetitive alarms so its surely just a matter of time.You should get an Echo but wait for a sale. Then maybe get two Echos.",5.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",I bought this during Black Friday sales the price was very attractive but I didn't find it that attractive as YouTube stream was streaming slow it was taking 10-15 min to stream a single song.,1.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black","A while ago, my Echo power supply stopped working. At the time, Amazon was out of the OEM power supply and provided me with a replacement from China. That one worked but was bulky and not as good looking as the OEM one, so I decided, when Amazon had caught up with back orders, to reorder a 'real' power supply. Very glad that I did.Sleek, stylish power supply for my Amazon Echo. Works as it should, and hopefully will last longer than my previous power supply!",5.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",It was easy to setup. The kids love it! Pretty good battery life.,4.0
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",I bought as a Christmas gift for my 9 year old and she loves it. It works great and my package arrived early with no issues.,5.0
"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,","I love the fact, I can read in bed at night, and the backlight is adjustable so it does not bother my husband sleeping. Only negative is it takes a few longer seconds then I would like to power off.",5.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",Great device and a GREAT price! Many apps available too!!!,5.0
"Echo (White),,,
Echo (White),,,",Excellent product I would recommend to anyone. Very happy,5.0
"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",I am satisfied of this kindle upgrade mainly in resolution.,5.0
"Echo (White),,,
Echo (White),,,",Alexa is now a great friend. Coupled with prime music it provides constant entertainment.,5.0
"Amazon Fire Tv,,,
Amazon Fire Tv,,,","I bought this product at Best Buy instead of online, as I wanted to get in the day I wanted it. Just the voice activated programing is worth it alone, and the quality of the sound. I was using my phone for music, and it was not the best quality and the battery would run out.This is a great product as it solves both of those issues and more!",5.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",I like this Fire very much. The background is bright so reading is easy. It would have been nice to have some instructions included.,5.0
"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",This is my second Kindle reader. My first one wasn't back lite. I love that I can read outside in the sunshine or in bed with no light on. It is a great item if you like to read. I haven't bought an actual book in years!,5.0
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta","Purchased this to get a lighter tablet. Also to update our my old tablet which had a replaceable battery. This is all around lighter ,thinner and easier to handle. HD is a good upgrade and can't beat the price for comparable tablets with same features. my wife reads on it daily and loves it. I am probably going to search for another one.We have the 8"" and I would like to try a 7"" if it were available.I like to try different size devices to see how I adjust same way with todays phones.",5.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",Very satisfied with tablet and use to check E-Mail everyday,4.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",The tablet is great for reading and watching movies,3.0
"Amazon Fire Tv,,,
Amazon Fire Tv,,,",Love the ease of Alexa. Easy setu and has great sound.,5.0
"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",This is the right size to carry around. Really like this Tablet.....,5.0
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Very user friendly...long lasting battery....very clear display,5.0
"Echo (White),,,
Echo (White),,,",MY WIFE DEARLY LOVES COMMUNICATING WITH ALEXA> SHE IS CONSTANTLY ASKING ALEXA FOR INFORMATION ON TIME< WEATHER< MUSIC AND ALMOST EVERYTHING THE INTERNET HAS TO OFFER,5.0
"Echo (White),,,
Echo (White),,,",its a great product its a must have in your household,5.0
"Amazon Fire Tv,,,
Amazon Fire Tv,,,",This is a little delay in responding and you can definitely stump it. I would recommend the cheaper versions that can do the same.,4.0
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",This is a great option for a first tablet. It's lightweight and user friendly.,5.0
"Echo (White),,,
Echo (White),,,","I enjoy using the Echo to tell me a joke, stream some music or answer a question. I find it useful for setting timers, alarms or turning on/off lights.",5.0
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case","Easy to use for my kids, and they really enjoy using it.",4.0
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case","My wife purchased this for my daughter , great for learning to read.",5.0
"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,","I HATE this machine. First, I specifically asked the salesperson if I could connect to the internet. He assured me I could. It does not. Second complaint is that you can't just press the book and delete it. You have to go to Amazon to do this. I hated it so much I gave it away.",1.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","I bought the Amazon Fire for my daughter for her 8th birthday. It was decently priced. I can set parental settings and a curfew. I have to confirm what she wants to download. She loves it and plays games, listens to music, and reads books on it.",5.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","Basic and no frills,exactly what i wanted for travel :-)",5.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",Great tablet for a beginner to get used to the technology,5.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","For a tablet, good price and functions. Was tired of working a lot on smart phone. This is a good substitute. Will even order books.",4.0
"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",I love it and my two year old loves it to I love that it has parental locks on it,5.0
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",Great for toddlers and preschoolers. My 3 yr old loves it,5.0
"Amazon Fire Tv,,,
Amazon Fire Tv,,,","The speakers on the echo give great output. this smart technology is fun, and I am learning new things that it does every day",5.0
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",We are a total Apple family so I was a little hesitant to purchase this when our iPad stopped working. So glad we did because it's perfect and can't beat it for the price!,5.0
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Love the new fire hd 8. Price is amazing and if you are an amazon prime mbr its even better! Great for the kids as you can lock their profiles to a kids mode and they can't buy anything. If i had one downfall its the smaller amount of apps available than apple or google play.,5.0
"Echo (White),,,
Echo (White),,,","This thing is great, I can get all my music, weather, sport scores and more",5.0
"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",I purchased this as a gift after using this at another home. I have also tried similar products and I feel that this has the most interactive user interface. It continually is learning and has good sound quality for what we use it for.,5.0
"Echo (White),,,
Echo (White),,,",Easy set up.Fun for kids...Wish there are more built in search engines..,4.0
"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",It took less than five minutes to set-up and start using my Kindle. Features are easy to use and it's holds a charge for an incredibly long time!,5.0
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta","Bought for my mom, shes in love with it. Use for netflix myself love the 8' great size and cpu speed.",5.0
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",Great tablet for my three year old son It's really easy for him to use,5.0
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Not many apps. The first one was already returned...no power issue after 1week..I hope the second one is fine...,3.0
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",Absolutely love Kindle Kids Edition. Easy to use. Great apps and love it comes with 2 year warranty. Must have for my 2 kids.,5.0
"Echo (White),,,
Echo (White),,,",The person I bought it for is very pleased with it.,5.0
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",Bought one of these for each of my grandkids and they love it!,5.0
"Echo (White),,,
Echo (White),,,",I paired this with the logitech elite universal remote and my amazon prime account and it make entertaining guest slot easier.,5.0
"Amazon Fire Tv,,,
Amazon Fire Tv,,,",Alexa is so much fun. Love the jokes and the ability to get any information I need by simply asking,5.0
